fips,state_fips,county_fips,acs_county_name,median_household_income,poverty_rate_pct,bachelor_or_higher_pct,total_population,acs_year,acs_source
01001,01,001,"Autauga County, Alabama",68315,11.4,29.6,58761,2022,ACS 2022 5-year Data Profile
01003,01,003,"Baldwin County, Alabama",71039,10.2,32.6,233420,2022,ACS 2022 5-year Data Profile
01005,01,005,"Barbour County, Alabama",39712,24.2,11.9,24877,2022,ACS 2022 5-year Data Profile
01007,01,007,"Bibb County, Alabama",50669,20.6,10.9,22251,2022,ACS 2022 5-year Data Profile
01009,01,009,"Blount County, Alabama",57440,14.2,14.7,59077,2022,ACS 2022 5-year Data Profile
01011,01,011,"Bullock County, Alabama",36136,27.9,9.4,10328,2022,ACS 2022 5-year Data Profile
01013,01,013,"Butler County, Alabama",44429,21.1,13.0,18981,2022,ACS 2022 5-year Data Profile
01015,01,015,"Calhoun County, Alabama",54339,18.0,19.2,116162,2022,ACS 2022 5-year Data Profile
01017,01,017,"Chambers County, Alabama",48805,17.9,12.7,34612,2022,ACS 2022 5-year Data Profile
01019,01,019,"Cherokee County, Alabama",46621,14.3,14.6,25069,2022,ACS 2022 5-year Data Profile
01021,01,021,"Chilton County, Alabama",62471,14.5,14.0,45140,2022,ACS 2022 5-year Data Profile
01023,01,023,"Choctaw County, Alabama",43299,19.1,13.0,12669,2022,ACS 2022 5-year Data Profile
01025,01,025,"Clarke County, Alabama",47549,22.4,13.8,23058,2022,ACS 2022 5-year Data Profile
01027,01,027,"Clay County, Alabama",48074,17.6,12.8,14209,2022,ACS 2022 5-year Data Profile
01029,01,029,"Cleburne County, Alabama",51553,12.9,16.5,15144,2022,ACS 2022 5-year Data Profile
01031,01,031,"Coffee County, Alabama",62199,16.3,21.6,53559,2022,ACS 2022 5-year Data Profile
01033,01,033,"Colbert County, Alabama",56149,15.9,18.0,57270,2022,ACS 2022 5-year Data Profile
01035,01,035,"Conecuh County, Alabama",39888,18.4,13.3,11576,2022,ACS 2022 5-year Data Profile
01037,01,037,"Coosa County, Alabama",52279,11.1,10.6,10329,2022,ACS 2022 5-year Data Profile
01039,01,039,"Covington County, Alabama",48772,18.8,16.3,37542,2022,ACS 2022 5-year Data Profile
01041,01,041,"Crenshaw County, Alabama",48557,14.9,17.2,13205,2022,ACS 2022 5-year Data Profile
01043,01,043,"Cullman County, Alabama",58119,13.0,18.3,88284,2022,ACS 2022 5-year Data Profile
01045,01,045,"Dale County, Alabama",52813,17.5,19.2,49455,2022,ACS 2022 5-year Data Profile
01047,01,047,"Dallas County, Alabama",37180,27.1,15.7,38326,2022,ACS 2022 5-year Data Profile
01049,01,049,"DeKalb County, Alabama",47920,20.2,14.1,71680,2022,ACS 2022 5-year Data Profile
01051,01,051,"Elmore County, Alabama",73258,9.6,24.2,87694,2022,ACS 2022 5-year Data Profile
01053,01,053,"Escambia County, Alabama",41153,21.8,12.6,36755,2022,ACS 2022 5-year Data Profile
01055,01,055,"Etowah County, Alabama",52177,15.9,17.7,103348,2022,ACS 2022 5-year Data Profile
01057,01,057,"Fayette County, Alabama",45650,22.2,13.0,16297,2022,ACS 2022 5-year Data Profile
01059,01,059,"Franklin County, Alabama",47359,16.6,14.8,32011,2022,ACS 2022 5-year Data Profile
01061,01,061,"Geneva County, Alabama",47608,20.8,13.9,26647,2022,ACS 2022 5-year Data Profile
01063,01,063,"Greene County, Alabama",32796,32.9,16.7,7706,2022,ACS 2022 5-year Data Profile
