state_fips,State Name,ASD_2022_current_pct,ASD_2022_current_rate,ASD_year,ASD_source,Pb_PM25_2019_2021_mean_ugm3,Pb_PM25_2019_2021_mean_ngm3,Pb_PM25_years_available,PM25_2019_2021_mean_ugm3,PM25_years_available,median_household_income,poverty_rate_pct,bachelor_or_higher_pct,total_population,acs_year,acs_source
01,Alabama,3.1,0.031,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0036145902471541,3.614590247154152,3.0,8.228856796400189,3,59609,15.7,27.2,5028092,2022,ACS 2022 5-year Data Profile
02,Alaska,4.4,0.044,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0007783135995496,0.7783135995496843,3.0,7.4979045908143425,3,86370,10.5,30.7,734821,2022,ACS 2022 5-year Data Profile
04,Arizona,5.3,0.053,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.000926911487212,0.9269114872120248,3.0,7.771417427947742,3,72581,13.1,31.8,7172282,2022,ACS 2022 5-year Data Profile
05,Arkansas,3.2,0.032,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0018053156146179,1.80531561461794,3.0,8.43386507341283,3,56335,16.2,24.7,3018669,2022,ACS 2022 5-year Data Profile
06,California,3.2,0.032,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0013329406384757,1.3329406384757678,3.0,9.99142499001204,3,91905,12.1,35.9,39356104,2022,ACS 2022 5-year Data Profile
08,Colorado,2.7,0.027,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0007196564628421,0.7196564628421408,3.0,7.609316923581999,3,87598,9.6,43.7,5770790,2022,ACS 2022 5-year Data Profile
09,Connecticut,2.9,0.0289999999999999,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0019494547430936,1.9494547430936071,3.0,6.988498537115315,3,90213,10.1,41.4,3611317,2022,ACS 2022 5-year Data Profile
10,Delaware,4.9,0.049,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.003155128339262,3.155128339262049,3.0,7.168079231829178,3,79325,11.1,34.5,993635,2022,ACS 2022 5-year Data Profile
11,District of Columbia,3.0,0.03,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0028569000023545,2.856900002354548,3.0,7.93129465557963,3,101722,15.1,62.6,670587,2022,ACS 2022 5-year Data Profile
12,Florida,5.6,0.0559999999999999,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0015882238153405,1.5882238153405204,3.0,7.250649105583153,3,67917,12.9,32.3,21634529,2022,ACS 2022 5-year Data Profile
13,Georgia,3.1,0.031,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0021142189878969,2.1142189878969506,3.0,8.870733276882868,3,71355,13.5,33.6,10722325,2022,ACS 2022 5-year Data Profile
15,Hawaii,1.9,0.019,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0007579650430135,0.7579650430135585,3.0,2.9300488676466974,3,94814,9.6,34.7,1450589,2022,ACS 2022 5-year Data Profile
16,Idaho,2.3,0.023,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.001087166521868,1.0871665218680224,3.0,8.495948495415421,3,70214,11.0,30.2,1854109,2022,ACS 2022 5-year Data Profile
17,Illinois,2.6,0.026,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0037881350864392,3.788135086439255,3.0,8.989481315656946,3,78433,11.8,36.7,12757634,2022,ACS 2022 5-year Data Profile
18,Indiana,3.7,0.037,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0037823147104303,3.782314710430336,3.0,8.862019873130537,3,67173,12.3,28.2,6784403,2022,ACS 2022 5-year Data Profile
19,Iowa,3.3,0.033,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0022235856739056,2.223585673905633,3.0,8.095823427247261,3,70571,11.1,30.3,3188836,2022,ACS 2022 5-year Data Profile
20,Kansas,3.0,0.03,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0019534507256673,1.9534507256673093,3.0,8.375502950815047,3,69747,11.6,34.7,2935922,2022,ACS 2022 5-year Data Profile
21,Kentucky,4.0,0.04,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0046842106329704,4.684210632970404,3.0,8.288754881246508,3,60183,16.1,26.5,4502935,2022,ACS 2022 5-year Data Profile
22,Louisiana,4.4,0.044,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0020095831744215,2.0095831744215613,3.0,7.940272897401958,3,57852,18.7,26.1,4640546,2022,ACS 2022 5-year Data Profile
23,Maine,3.7,0.037,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.000657789123054,0.6577891230540404,3.0,5.062668058861023,3,68251,10.9,34.1,1366949,2022,ACS 2022 5-year Data Profile
24,Maryland,2.2,0.022,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0026113821798644,2.611382179864414,3.0,6.6292336023862894,3,98461,9.3,42.2,6161707,2022,ACS 2022 5-year Data Profile
25,Massachusetts,4.7,0.047,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0015185200350333,1.5185200350333528,3.0,6.805872230420586,3,96505,9.9,45.9,6984205,2022,ACS 2022 5-year Data Profile
26,Michigan,5.3,0.053,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0027116909693431,2.71169096934315,3.0,8.466419466676431,3,68505,13.1,31.1,10057921,2022,ACS 2022 5-year Data Profile
27,Minnesota,4.3,0.043,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0021881894788794,2.188189478879495,3.0,6.349323791304667,3,84313,9.3,38.2,5695292,2022,ACS 2022 5-year Data Profile
28,Mississippi,3.8,0.038,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0033358624071738,3.3358624071738823,3.0,8.484745646679418,3,52985,19.2,23.9,2958846,2022,ACS 2022 5-year Data Profile
29,Missouri,3.0,0.03,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0024737916191645,2.4737916191645475,3.0,7.937215508092206,3,65920,12.8,31.2,6154422,2022,ACS 2022 5-year Data Profile
30,Montana,3.5,0.035,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",0.0003783061594202,0.3783061594202899,2.0,6.902540278489785,3,66341,12.4,34.0,1091840,2022,ACS 2022 5-year Data Profile
31,Nebraska,1.8,0.018,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,7.139667029854412,3,71722,10.4,33.5,1958939,2022,ACS 2022 5-year Data Profile
32,Nevada,3.3,0.033,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,7.178115918806153,3,71646,12.7,26.5,3104817,2022,ACS 2022 5-year Data Profile
33,New Hampshire,2.3,0.023,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,5.04422745001963,3,90845,7.3,39.0,1379610,2022,ACS 2022 5-year Data Profile
34,New Jersey,3.3,0.033,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,7.945524890735943,3,97126,9.7,42.3,9249063,2022,ACS 2022 5-year Data Profile
35,New Mexico,3.7,0.037,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,6.591766105774364,3,58722,18.3,29.1,2112463,2022,ACS 2022 5-year Data Profile
36,New York,3.8,0.038,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,6.699124164490976,3,81386,13.6,38.8,19994379,2022,ACS 2022 5-year Data Profile
37,North Carolina,1.2,0.012,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,7.402330318322673,3,66186,13.3,33.9,10470214,2022,ACS 2022 5-year Data Profile
38,North Dakota,2.9,0.0289999999999999,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,5.672600988520176,3,73959,10.8,31.4,776874,2022,ACS 2022 5-year Data Profile
39,Ohio,2.7,0.027,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,8.829344955900698,3,66990,13.3,30.4,11774683,2022,ACS 2022 5-year Data Profile
40,Oklahoma,4.2,0.042,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,8.793479956627158,3,61364,15.2,27.3,3970497,2022,ACS 2022 5-year Data Profile
