state_fips,State Name,ASD_2022_current_pct,ASD_2022_current_rate,ASD_year,ASD_source
01,Alabama,3.1,0.031,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
02,Alaska,4.4,0.044000000000000004,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
04,Arizona,5.3,0.053,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
05,Arkansas,3.2,0.032,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
06,California,3.2,0.032,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
08,Colorado,2.7,0.027000000000000003,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
09,Connecticut,2.9,0.028999999999999998,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
10,Delaware,4.9,0.049,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
11,District of Columbia,3.0,0.03,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
12,Florida,5.6,0.055999999999999994,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
13,Georgia,3.1,0.031,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
15,Hawaii,1.9,0.019,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
16,Idaho,2.3,0.023,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
17,Illinois,2.6,0.026000000000000002,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
18,Indiana,3.7,0.037000000000000005,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
19,Iowa,3.3,0.033,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
20,Kansas,3.0,0.03,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
21,Kentucky,4.0,0.04,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
22,Louisiana,4.4,0.044000000000000004,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
23,Maine,3.7,0.037000000000000005,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
24,Maryland,2.2,0.022000000000000002,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
25,Massachusetts,4.7,0.047,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
26,Michigan,5.3,0.053,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
27,Minnesota,4.3,0.043,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
28,Mississippi,3.8,0.038,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
29,Missouri,3.0,0.03,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
30,Montana,3.5,0.035,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
31,Nebraska,1.8,0.018000000000000002,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
32,Nevada,3.3,0.033,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
33,New Hampshire,2.3,0.023,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
34,New Jersey,3.3,0.033,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
35,New Mexico,3.7,0.037000000000000005,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
36,New York,3.8,0.038,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
37,North Carolina,1.2,0.012,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
38,North Dakota,2.9,0.028999999999999998,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
39,Ohio,2.7,0.027000000000000003,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
40,Oklahoma,4.2,0.042,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
41,Oregon,3.3,0.033,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
42,Pennsylvania,4.7,0.047,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
44,Rhode Island,1.8,0.018000000000000002,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
45,South Carolina,3.1,0.031,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
46,South Dakota,2.1,0.021,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
47,Tennessee,3.8,0.038,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
48,Texas,3.9,0.039,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
49,Utah,3.3,0.033,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
50,Vermont,2.3,0.023,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
51,Virginia,4.3,0.043,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
53,Washington,5.7,0.057,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
54,West Virginia,3.2,0.032,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
55,Wisconsin,1.1,0.011000000000000001,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
56,Wyoming,2.0,0.02,2022,"2022 NSCH, Indicator 2.8, age 3-17 years"
