site,asd_cases,addm_age8_population,asd_prevalence_per_1000_ci,male_prevalence_per_1000_ci,female_prevalence_per_1000_ci,male_female_ratio_ci,asd_prevalence_per_1000,male_prevalence_per_1000,female_prevalence_per_1000,addm_year,addm_source,surveillance_area_description,site_population_age8_from_table1,mapped_counties,mapped_fips,mapped_county_labels,match_quality,county_rows_found_in_exposure,counties_with_lead,counties_with_pm25,Pb_PM25_2019_2021_mean_ngm3_unweighted,Pb_PM25_2019_2021_mean_ngm3_pop_weighted,PM25_2019_2021_mean_ugm3_unweighted,PM25_2019_2021_mean_ugm3_pop_weighted,median_household_income_pop_weighted,poverty_rate_pct_pop_weighted,bachelor_or_higher_pct_pop_weighted,aggregation_note,has_candidate_boundary
Arizona,360,13118,27.4 (24.8–30.4),43.8 (39.2–49.0),10.3 (8.1–13.1),4.3 (3.3–5.5),27.4,43.8,10.3,2020,https://www.cdc.gov/mmwr/volumes/72/ss/ss7202a1.htm,Part of one county in metropolitan Phoenix,"13,118¶",1,04013,"Maricopa County, AZ",county_approximate_subcounty,1,1,1,2.0564304783034406,2.0564304783034406,8.204442188083693,8.204442188083693,80675.0,11.5,35.0,Population-weighted values use ACS 2022 total population as weights among nonmissing county exposure values.,False
Arkansas,362,15432,23.5 (21.2–26.0),36.3 (32.4–40.6),9.6 (7.6–12.1),3.8 (2.9–4.9),23.5,36.3,9.6,2020,https://www.cdc.gov/mmwr/volumes/72/ss/ss7202a1.htm,21 counties in central Arkansas,15432,21,05001;05023;05025;05029;05045;05053;05059;05063;05067;05069;05079;05085;05095;05097;05105;05117;05119;05125;05127;05145;05147,"Arkansas County, AR; Cleburne County, AR; Cleveland County, AR; Conway County, AR; Faulkner County, AR; Grant County, AR; Hot Spring County, AR; Independence County, AR; Jackson County, AR; Jefferson County, AR; Lincoln County, AR; Lonoke County, AR; Monroe County, AR; Montgomery County, AR; Perry County, AR; Prairie County, AR; Pulaski County, AR; Saline County, AR; Scott County, AR; White County, AR; Woodruff County, AR",candidate_needs_verification,3,1,3,3.8397097286441553,3.839709728644156,8.222920224261328,9.22037093379635,57703.67479230787,16.755471733043297,35.18992617962188,Population-weighted values use ACS 2022 total population as weights among nonmissing county exposure values.,True
California,710,15828,44.9 (41.7–48.2),69.4 (64.1–75.1),19.1 (16.3–22.4),3.6 (3.0–4.3),44.9,69.4,19.1,2020,https://www.cdc.gov/mmwr/volumes/72/ss/ss7202a1.htm,Part of one county in metropolitan San Diego,"15,828¶",1,06073,"San Diego County, CA",county_approximate_subcounty,1,1,1,3.0860177783799245,3.0860177783799245,10.88272335318274,10.88272335318274,96974.0,10.6,41.0,Population-weighted values use ACS 2022 total population as weights among nonmissing county exposure values.,False
Georgia,553,21921,25.2 (23.2–27.4),40.2 (36.7–44.0),9.7 (8.0–11.7),4.2 (3.4–5.1),25.2,40.2,9.7,2020,https://www.cdc.gov/mmwr/volumes/72/ss/ss7202a1.htm,Two counties in metropolitan Atlanta,21921,2,13089;13121,"DeKalb County, GA; Fulton County, GA",county_approximate_needs_verification,2,1,2,2.249253005350566,2.249253005350566,8.973661630494632,9.005379402684833,81998.6585020566,12.87577104060932,52.7577568640701,Population-weighted values use ACS 2022 total population as weights among nonmissing county exposure values.,False
Maryland,491,21278,23.1 (21.1–25.2),36.9 (33.5–40.6),8.6 (7.0–10.6),4.3 (3.4–5.4),23.1,36.9,8.6,2020,https://www.cdc.gov/mmwr/volumes/72/ss/ss7202a1.htm,Five counties in suburban Baltimore,21278,5,24003;24005;24013;24025;24027,"Anne Arundel County, MD; Baltimore County, MD; Carroll County, MD; Harford County, MD; Howard County, MD",county_approximate_needs_verification,3,1,3,3.8777534671748586,3.8777534671748586,7.332830432675526,7.547049039237483,103603.5010171027,8.535694660020349,46.00902863055797,Population-weighted values use ACS 2022 total population as weights among nonmissing county exposure values.,False
Minnesota,482,16150,29.8 (27.3–32.6),47.8 (43.4–52.6),11.0 (9.0–13.6),4.3 (3.4–5.4),29.8,47.8,11.0,2020,https://www.cdc.gov/mmwr/volumes/72/ss/ss7202a1.htm,Parts of three counties in the Twin Cities metropolitan area,"16,150¶",3,27003;27053;27123,"Anoka County, MN; Hennepin County, MN; Ramsey County, MN",candidate_subcounty_needs_verification,3,2,3,4.542550118559064,3.857899863695277,7.536515715499125,7.747697375257647,89493.5445385692,9.993576412917845,47.09902734863019,Population-weighted values use ACS 2022 total population as weights among nonmissing county exposure values.,True
Missouri,601,24561,24.5 (22.6–26.5),38.7 (35.4–42.2),9.3 (7.8–11.2),4.1 (3.4–5.1),24.5,38.7,9.3,2020,https://www.cdc.gov/mmwr/volumes/72/ss/ss7202a1.htm,Five counties in metropolitan St. Louis,24561,5,29071;29099;29183;29189;29510,"Franklin County, MO; Jefferson County, MO; St. Charles County, MO; St. Louis County, MO; St. Louis City, MO",county_approximate_needs_verification,3,2,3,4.661443595716032,4.748182870867044,8.105310663976072,8.045896904536855,73029.3457206476,11.47833817033459,41.16536530017283,Population-weighted values use ACS 2022 total population as weights among nonmissing county exposure values.,False
New Jersey,544,18940,28.7 (26.4–31.2),44.5 (40.5–48.7),12.2 (10.2–14.7),3.6 (3.0–4.5),28.7,44.5,12.2,2020,https://www.cdc.gov/mmwr/volumes/72/ss/ss7202a1.htm,Two counties in New York metropolitan area,18940,2,34013;34039,"Essex County, NJ; Union County, NJ",county_approximate_needs_verification,2,0,2,,,8.567739802796464,8.596913626011581,82299.24493476811,12.55187866593988,37.761198229615424,Population-weighted values use ACS 2022 total population as weights among nonmissing county exposure values.,False
Tennessee,713,25588,27.9 (25.9–30.0),43.9 (40.5–47.5),11.1 (9.4–13.1),4.0 (3.3–4.8),27.9,43.9,11.1,2020,https://www.cdc.gov/mmwr/volumes/72/ss/ss7202a1.htm,11 counties in middle Tennessee,25588,11,47021;47037;47043;47119;47125;47147;47149;47165;47187;47189;47169,"Cheatham County, TN; Davidson County, TN; Dickson County, TN; Maury County, TN; Montgomery County, TN; Robertson County, TN; Rutherford County, TN; Sumner County, TN; Williamson County, TN; Wilson County, TN; Trousdale County, TN",candidate_needs_verification,4,0,4,,,7.468156261530154,8.20469740203254,72717.74849992445,12.635510561864203,39.15034209683997,Population-weighted values use ACS 2022 total population as weights among nonmissing county exposure values.,True
Utah,621,24734,25.1 (23.2–27.1),37.6 (34.4–41.1),11.8 (10.0–13.9),3.2 (2.6–3.8),25.1,37.6,11.8,2020,https://www.cdc.gov/mmwr/volumes/72/ss/ss7202a1.htm,Three counties in northern Utah,24734,3,49011;49035;49045,"Davis County, UT; Salt Lake County, UT; Tooele County, UT",county_approximate_needs_verification,3,0,3,,,7.540521980999106,7.941080116166864,92794.2703054385,7.463987174438881,37.16605856313906,Population-weighted values use ACS 2022 total population as weights among nonmissing county exposure values.,False
